ID	plabels	alabels	longitude	latitude	PC1	PC2	RotNS	RotEW
18213	Kosovo	KS	21.1	42.7	-0.0256	-0.0622	0.066852578	-0.007411672
18906	United_Kingdom	UK	-2.331195017	53.54324801	0.0278	-0.0046	-0.00326268	0.027988478
19568	United_Kingdom	UK	-2.331195017	53.54324801	0.0284	0.0063	-0.013903924	0.025552512
21319	United_Kingdom	UK	-2.331195017	53.54324801	0.0284	0.0168	-0.023994918	0.022650472
21377	United_Kingdom	UK	-2.331195017	53.54324801	0.0267	0.0032	-0.010454824	0.024775525
22689	Ireland	IE	-8.180400765	53.19668273	0.0321	0.0084	-0.016944747	0.028527979
22994	United_Kingdom	UK	-2.331195017	53.54324801	0.0261	0.0047	-0.011730564	0.02378432
24146	United_Kingdom	UK	-2.331195017	53.54324801	0.0326	-0.062	0.050574774	0.04846599
24856	United_Kingdom	UK	-2.331195017	53.54324801	0.0282	0.0169	-0.024035746	0.022430624
25230	United_Kingdom	UK	-2.331195017	53.54324801	0.03	-0.0022	-0.00617724	0.029439458
25324	United_Kingdom	UK	-2.331195017	53.54324801	0.0305	0.0164	-0.024190907	0.024779225
25596	United_Kingdom	UK	-2.331195017	53.54324801	0.0285	0.008	-0.015565343	0.025178763
25961	United_Kingdom	UK	-2.331195017	53.54324801	0.0249	0.0093	-0.015819719	0.021359693
26221	United_Kingdom	UK	-2.331195017	53.54324801	0.0269	0.0029	-0.010221787	0.02505065
26287	United_Kingdom	UK	-2.331195017	53.54324801	0.0326	0.0113	-0.019869975	0.028206986
26504	United_Kingdom	UK	-2.331195017	53.54324801	0.0254	-0.0014	-0.005674707	0.024797534
26840	Ireland	IE	-8.180400765	53.19668273	0.0426	0.0127	-0.023979289	0.037430518
26916	United_Kingdom	UK	-2.331195017	53.54324801	0.0097	-0.0258	0.022114082	0.016452884
27015	United_Kingdom	UK	-2.331195017	53.54324801	0.0341	0.0039	-0.013172804	0.031693804
27230	United_Kingdom	UK	-2.331195017	53.54324801	0.0295	0.0059	-0.013823529	0.026720218
27634	United_Kingdom	UK	-2.331195017	53.54324801	0.028	0.005	-0.012544009	0.025527394
28591	United_Kingdom	UK	-2.331195017	53.54324801	0.0318	-0.0025	-0.006386418	0.031252259
28665	United_Kingdom	UK	-2.331195017	53.54324801	0.0289	0.0025	-0.010390138	0.027083298
29385	United_Kingdom	UK	-2.331195017	53.54324801	0.0253	0.0147	-0.021119927	0.020251634
30552	United_Kingdom	UK	-2.331195017	53.54324801	0.0249	0.0173	-0.023508095	0.019148615
31017	United_Kingdom	UK	-2.331195017	53.54324801	0.0348	-0.0174	0.007104029	0.038253533
31696	United_Kingdom	UK	-2.331195017	53.54324801	0.0268	0.0087	-0.015768221	0.023351514
33231	United_Kingdom	UK	-2.331195017	53.54324801	0.0333	0.0027	-0.01179844	0.031256628
34382	Ireland	IE	-8.180400765	53.19668273	0.0352	0.0127	-0.021934042	0.03031877
34557	Ireland	IE	-8.180400765	53.19668273	0.0421	0.0163	-0.027300866	0.035955009
35266	United_Kingdom	UK	-2.331195017	53.54324801	0.0267	-0.0109	0.003095939	0.028672551
36063	United_Kingdom	UK	-2.331195017	53.54324801	0.0254	0.0039	-0.010768257	0.023332695
36165	United_Kingdom	UK	-2.331195017	53.54324801	0.0225	0.0065	-0.012465463	0.019827058
36261	United_Kingdom	UK	-2.331195017	53.54324801	0.0298	-0.0016	-0.006698591	0.029081418
37693	Scotland	Sct	-3.2	55.95	0.0358	0.004	-0.013738763	0.033299946
38008	United_Kingdom	UK	-2.331195017	53.54324801	0.0329	0.0066	-0.01543597	0.029794309
39064	United_Kingdom	UK	-2.331195017	53.54324801	0.0331	0.008	-0.016836713	0.02959958
39528	Ireland	IE	-8.180400765	53.19668273	0.0343	0.0172	-0.026010007	0.028210096
40813	Italy	IT	12.5	42	-0.0212	0.0024	0.003552844	-0.021037521
45066	United_Kingdom	UK	-2.331195017	53.54324801	0.0252	-0.0068	-0.000429776	0.026097802
45159	Germany	DE	10.35890163	51.08355564	0.0161	0.0013	-0.005699156	0.015113557
45656	Ireland	IE	-8.180400765	53.19668273	0.0266	0.0235	-0.029936441	0.01906881
45901	Ireland	IE	-8.180400765	53.19668273	0.0295	0.0105	-0.018244345	0.025448848
46570	Cyprus	CY	33.19968545	35.09815637	-0.0719	-0.0318	0.050433362	-0.060310248
48891	United_Kingdom	UK	-2.331195017	53.54324801	0.0353	0.0072	-0.016675921	0.031934991
49319	United_Kingdom	UK	-2.331195017	53.54324801	0.0319	0.0103	-0.018715459	0.027810638
199	Italy	IT	12.5	42	-0.0561	-0.019	0.03376508	-0.048663429
284	Italy	IT	12.5	42	-0.022	0.0051	0.001179125	-0.022552598
343	Portugal	PT	-8.016392483	39.59096807	-0.0272	0.0387	-0.029674855	-0.036836571
777	Italy	IT	12.5	42	-0.0529	-0.0312	0.044605423	-0.042216185
935	Spain	ES	-3.566114847	40.32870801	-0.0217	0.0369	-0.029465087	-0.031053319
1523	Italy	IT	12.5	42	-0.0507	-0.0172	0.030542718	-0.043971268
1628	Italy	IT	12.5	42	-0.0596	-0.0104	0.026467422	-0.054404003
1718	Spain	ES	-3.566114847	40.32870801	-0.015	0.0356	-0.030067504	-0.024255004
1783	Spain	ES	-3.566114847	40.32870801	-0.0175	0.048	-0.041293525	-0.030084793
1843	Italy	IT	12.5	42	-0.0385	-0.0085	0.018809714	-0.034651041
1934	Italy	IT	12.5	42	-0.0432	-0.0154	0.026739947	-0.037260908
2164	Italy	IT	12.5	42	-0.0204	-0.0052	0.010635694	-0.018168159
2578	Italy	IT	12.5	42	-0.0203	-6.00E-04	0.006187239	-0.019343424
2676	Italy	IT	12.5	42	-0.0401	-0.0317	0.041548221	-0.02977659
3091	Spain	ES	-3.566114847	40.32870801	-0.013	0.0459	-0.040519058	-0.025179673
3829	Spain	ES	-3.566114847	40.32870801	-0.0114	0.0387	-0.034041735	-0.021652027
3935	Spain	ES	-3.566114847	40.32870801	-0.01	0.0326	-0.028566286	-0.018620614
4104	Greece	GR	22.70884659	40.03413184	-0.0605	-0.0128	0.029022681	-0.054605622
4385	Spain	ES	-3.566114847	40.32870801	-0.0209	0.0281	-0.021228981	-0.027852296
4479	Italy	IT	12.5	42	-0.0349	-0.0177	0.026656362	-0.028648532
4539	Italy	IT	12.5	42	-0.02	-0.0011	0.006584847	-0.018916918
